fri_c4_250_25.arff,1,55,81,42,28,68,15,97,6,94,101,9,49,88,62,37,22,75,4,67,41,27,14,54,80,31,17,70,96,57,44,83,29,10,93,36,61,87,48,21,74,38,102,76,89,50,63,23,100,8,98,7,99,59,72,19,46,85,5,33,18,71,58,84,45,34,95,30,56,82,16,43,69,32,26,13,79,53,66,35,60,86,20,73,47,92,3,24,25,90,77,51,39,11,64,78,12,65,40,91,52
fri_c4_250_50.arff,9,94,97,6,101,9,37,62,22,49,75,88,55,68,15,42,28,81,93,4,96,41,67,14,80,27,54,31,70,83,57,44,17,10,100,36,74,21,87,61,48,8,76,38,63,23,89,102,50,98,7,99,95,5,85,72,19,59,46,34,30,16,43,69,82,56,32,29,92,3,33,18,71,58,45,84,26,79,13,53,66,35,47,73,86,20,60,24,90,25,64,39,11,77,51,40,12,78,65,91,52
GAMETES_Epistasis_2-Way_20atts_01H_EDM-1_1.arff,10,28,42,81,68,55,15,29,32,37,49,62,75,22,88,9,6,33,58,18,71,84,45,31,70,44,57,17,83,80,27,14,54,67,41,36,30,16,21,87,74,61,48,82,69,56,43,8,5,34,19,59,85,72,46,35,86,20,73,60,47,10,4,38,50,89,76,63,23,96,101,100,94,97,93,7,26,66,13,102,95,79,53,3,98,99,92,24,25,11,39,64,90,51,65,77,12,40,91,78,52
GAMETES_Epistasis_3-Way_20atts_02H_EDM-1_1.arff,10,28,42,81,68,55,15,29,32,37,49,62,75,22,88,9,6,33,58,18,71,84,45,31,70,44,57,17,83,80,27,14,54,67,41,36,30,16,21,87,74,61,48,82,69,56,43,8,5,34,19,59,85,72,46,35,86,20,73,60,47,10,4,38,50,89,76,63,23,96,101,100,94,97,93,7,26,66,13,102,95,79,53,3,98,99,92,24,25,11,39,64,90,51,65,77,12,40,91,78,52
GAMETES_Heterogeneity_20atts_1600_Het_04_02_50_EDM-2_001.arff,10,28,42,81,68,55,15,29,32,37,49,62,75,22,88,9,6,33,58,18,71,84,45,31,70,44,57,17,83,80,27,14,54,67,41,36,30,16,21,87,74,61,48,82,69,56,43,8,5,34,19,59,85,72,46,35,86,20,73,60,47,10,4,38,50,89,76,63,23,96,101,100,94,97,93,7,26,66,13,102,95,79,53,3,98,99,92,24,25,11,39,64,90,51,65,77,12,40,91,78,52
jungle_chess_2pcs_endgame_elephant_elephant.arff,0,15,28,68,55,81,32,42,31,17,70,83,57,44,54,80,67,96,41,14,27,101,88,62,49,37,22,75,29,94,97,36,61,87,21,74,48,93,100,98,95,69,30,16,82,56,43,85,59,72,19,34,46,33,58,18,71,84,45,13,26,53,79,66,9,8,6,5,35,86,60,73,20,47,99,4,38,23,89,76,63,102,50,7,10,92,3,24,77,25,11,90,64,51,91,12,52,78,65,39,40
jungle_chess_2pcs_endgame_lion_lion.arff,0,15,28,68,55,81,32,42,31,17,70,83,57,44,54,80,67,96,41,14,27,101,88,62,49,37,22,75,29,94,97,36,61,87,21,74,48,93,100,98,95,69,30,16,82,56,43,85,59,72,19,34,46,33,58,18,71,84,45,13,26,53,79,66,9,8,6,5,35,86,60,73,20,47,99,4,38,23,89,76,63,102,50,7,10,92,3,24,77,25,11,90,64,51,91,12,52,78,65,39,40
pc4.arff,3,81,42,28,55,15,31,17,83,70,57,44,6,68,94,62,97,49,22,75,88,37,32,96,101,9,10,29,54,33,58,71,18,45,84,41,27,14,67,93,38,102,80,63,76,89,23,50,100,5,4,36,21,87,74,61,48,8,95,30,82,56,16,69,43,99,35,60,86,73,20,47,34,85,72,46,19,59,98,7,26,13,66,79,53,92,3,24,25,90,77,51,64,11,39,52,12,40,91,78,65
allbp.arff,0,32,31,70,17,15,28,68,55,81,83,57,44,42,54,80,67,96,41,14,27,101,88,62,49,37,22,75,29,36,87,94,97,61,21,74,48,93,100,98,95,69,30,16,82,56,43,85,59,72,19,46,34,33,18,58,71,84,45,13,26,53,79,66,9,8,6,5,35,86,73,20,60,47,99,4,38,23,76,89,63,102,50,7,10,92,3,24,77,25,90,64,91,11,51,52,12,78,65,39,40
analcatdata_apnea1.arff,14,28,81,32,55,31,44,17,42,68,15,70,83,57,29,27,14,54,67,94,80,6,41,97,33,18,84,71,58,45,38,50,76,63,89,23,10,96,9,93,30,16,82,43,69,56,102,101,4,49,62,37,22,75,88,36,21,48,61,74,100,87,8,95,5,34,72,59,7,85,19,46,26,79,53,3,98,99,92,35,20,86,73,47,60,66,13,25,24,11,64,77,39,51,90,12,40,52,65,78,91
