"","rank1","best.of.the.rest"
"1",0.9997938410511,0.999770477258832
"2",0.964734558520301,0.937612229596101
"3",0.961780669064458,0.866459076085828
"4",0.944354088361358,0.950326294098252
"5",0.654082528533802,0.696458882060287
"6",0.992004747322836,0.992303719944192
"7",0.895093813387424,0.888263818458418
"8",0.926795145474184,0.926608040414693
"9",0.780904761904762,0.777613571428571
"10",0.82839552238806,0.826481343283582
"11",0.936726769839736,0.907940965454957
"12",0.896079390547751,0.90794318562291
"13",0.873243677238057,0.87254114813328
"14",0.895027777777778,0.901888888888889
"15",0.858358739837398,0.862677845528455
"16",0.999263994412539,0.999237583255439
"17",0.980793650793651,0.957777777777778
"18",0.990333333333333,0.992933333333333
"19",0.998929592872532,0.999396718856862
"20",0.969594594594595,0.964189189189189
"21",0.999554913255425,0.999553179253189
"22",0.918421344884073,0.908938240499575
"23",1,1
"24",0.766817224291844,0.770719036842313
"25",0.99540885040885,0.999274126546854
"26",0.997382547792037,0.997561649496131
"27",0.940187610290703,0.917386458623572
"28",0.996611704981443,0.987465934059844
"29",0.930489197338595,0.932282153750829
"30",0.989789548778313,0.991561886927055
"31",0.999690796857463,0.999624017957351
"32",0.967414088482949,0.966199350623157
"33",0.996059254234589,0.8151322249667
