ID,CLASSIFIER,ATTRIBUTESELECTION,SEED,DATASET,FLOW,RANK,WEIGHTEDAREAUNDERROC,WEIGHTEDFMEASURE,WEIGHTEDPRECISION,WEIGHTEDRECALL,ERRORRATE,TIMEELAPSED
15,logitboost,wrapper-subset-eval-with-adaboost-operator,700.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9510308837210819,0.8986405344009235,0.92870878981367,0.888641425389755,0.111358574610245,3827.0
16,logitboost,wrapper-subset-eval-with-adaboost-operator,750.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9498729761941851,0.8975045972776133,0.9274373639108279,0.8875278396436526,0.11247216035634744,3830.0
17,logitboost,wrapper-subset-eval-with-adaboost-operator,800.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9506579557382004,0.8986405344009235,0.92870878981367,0.888641425389755,0.111358574610245,3826.0
18,logitboost,wrapper-subset-eval-with-adaboost-operator,850.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9502517277125642,0.8986405344009235,0.92870878981367,0.888641425389755,0.111358574610245,3830.0
19,logitboost,wrapper-subset-eval-with-adaboost-operator,900.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.950560081772965,0.8986405344009235,0.92870878981367,0.888641425389755,0.111358574610245,3830.0
20,logitboost,wrapper-subset-eval-with-adaboost-operator,950.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.951511228758658,0.8963543165984927,0.9261668749724077,0.8864142538975501,0.11358574610244988,3831.0
21,logitboost,symmetrical-uncert-attribute-eval,1.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,2,0.9941139676178478,0.988710255420812,0.9889734980391647,0.9888641425389755,0.011135857461024499,820.0
22,logitboost,symmetrical-uncert-attribute-eval,50.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,2,0.9939929153662321,0.9887711589082387,0.9892026728933021,0.9888641425389755,0.011135857461024499,818.0
23,logitboost,symmetrical-uncert-attribute-eval,100.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,2,0.9909292841106424,0.9854605849707884,0.9861046434859793,0.9855233853006682,0.014476614699331848,818.0
24,logitboost,symmetrical-uncert-attribute-eval,150.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,2,0.9930763088664134,0.9865723309492633,0.9872834183694287,0.9866369710467706,0.013363028953229399,822.0
