73,72,50,77,54,53,75,74,57,56,68,62,84,11,20,26,98,39,2,48,30,12,94,58,60,88,35,28,7,23,95,102,40,1,45,29,10,89,66,70,37,18,25,96,43,6,49,34,9,91,65,71,87,17,15,24,100,38,4,46,31,14,90,63,69,79,27,16,21,97,41,3,44,32,13,93,67,61,101,36,19,22,99,42,5,47,33,8,92,64,59,52,55,82,85,51,80,78,83,81,76,86
83,84,52,55,63,66,85,62,57,53,77,81,60,37,10,45,100,24,40,33,2,14,90,69,73,50,20,17,9,44,96,101,29,43,32,1,18,88,76,80,23,8,48,95,28,38,34,5,11,93,72,79,102,22,12,49,98,27,39,35,3,16,89,74,71,59,30,19,46,97,25,41,31,6,13,91,75,70,94,21,7,47,99,26,42,36,4,15,92,78,82,61,87,86,64,54,67,65,68,51,56,58
101,102,80,79,49,38,50,35,45,63,91,93,82,13,11,52,8,66,41,76,18,30,57,87,88,81,24,3,36,51,6,72,65,46,75,19,25,58,99,100,16,2,56,10,69,44,78,22,28,62,97,95,84,12,4,53,7,68,42,77,20,26,60,89,94,83,15,23,55,5,67,43,74,21,29,61,98,96,85,14,1,54,9,70,40,73,17,27,59,92,90,86,37,71,47,31,33,39,48,32,34,64
96,98,68,99,41,61,62,60,42,20,87,94,67,44,4,33,38,9,51,78,54,19,26,84,89,63,21,1,43,30,36,7,8,48,77,55,14,23,91,95,47,3,31,37,13,53,80,56,15,25,90,88,66,45,5,34,39,12,52,81,58,17,28,92,93,65,46,6,32,35,11,50,79,59,16,27,85,97,64,22,2,29,40,10,49,76,57,18,24,101,102,82,100,71,73,70,72,86,74,69,83,75
99,100,49,31,26,35,30,14,33,86,87,89,45,51,4,43,63,69,57,76,11,22,85,88,93,44,6,36,72,41,60,53,66,54,75,7,24,79,96,102,3,16,42,64,67,58,78,10,20,81,97,91,46,52,5,40,62,68,55,74,13,23,82,101,90,48,2,15,39,61,70,59,77,8,19,83,95,98,47,1,17,38,65,71,56,73,12,18,84,94,92,50,29,21,25,27,34,28,37,9,32,80
101,102,86,59,60,65,22,57,52,55,89,91,85,4,10,31,47,68,23,77,37,50,29,90,87,80,1,2,73,46,27,7,66,16,74,17,20,19,95,96,15,12,56,43,70,18,79,38,51,28,93,99,83,3,8,53,49,67,24,78,42,26,35,88,100,84,5,9,58,48,69,25,76,39,30,34,92,97,81,13,6,36,44,71,21,75,40,61,41,94,98,82,11,64,54,62,14,32,72,45,63,33
102,91,80,10,60,33,58,35,48,20,93,95,86,5,51,67,23,31,71,77,37,44,16,87,89,81,2,55,1,65,26,3,28,68,74,36,47,15,88,99,12,4,63,25,30,69,78,39,43,17,90,98,83,6,50,64,21,27,70,79,40,45,14,92,101,85,8,53,62,24,29,73,75,41,42,18,94,96,82,7,52,66,22,32,72,76,38,46,19,100,97,84,49,54,61,11,9,57,59,34,56,13
97,98,39,99,29,28,92,22,64,30,88,73,43,94,10,32,45,18,71,5,21,63,51,76,83,37,100,7,27,31,48,19,13,68,2,26,58,50,89,102,72,11,33,44,15,78,6,25,57,54,75,84,42,101,9,35,46,14,69,3,24,62,53,74,93,38,81,8,36,47,17,80,4,23,60,52,86,91,40,96,12,34,49,16,70,1,20,61,55,90,87,41,95,56,66,82,65,77,67,79,59,85
93,100,86,45,52,38,55,64,53,24,102,90,81,19,17,28,58,5,69,75,49,35,41,101,87,84,22,10,21,27,56,12,3,67,73,46,33,39,94,97,9,2,30,54,6,72,74,50,25,43,95,98,82,18,16,26,59,7,70,77,48,34,44,91,89,83,20,15,29,60,4,68,76,47,36,40,88,99,80,1,11,31,57,8,71,78,51,37,42,92,96,85,13,23,65,66,14,79,63,61,32,62
93,94,69,67,15,8,95,43,14,3,86,81,73,78,6,53,37,21,63,28,98,25,46,80,82,70,51,12,42,57,40,66,17,60,30,96,34,48,83,84,75,13,55,41,22,62,29,100,23,44,87,89,74,50,9,56,36,19,61,31,99,26,47,85,90,72,77,5,52,38,18,64,32,97,24,45,79,91,71,76,11,54,39,20,59,33,101,16,49,92,88,68,102,1,35,2,4,58,10,65,27,7
