classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
AutoWeka,AutoWeka,850,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72899
AutoWeka,AutoWeka,900,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72866
AutoWeka,AutoWeka,950,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72926
AutoWeka,AutoWeka,1,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72924
AutoWeka,AutoWeka,50,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,75971
AutoWeka,AutoWeka,100,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72938
AutoWeka,AutoWeka,150,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,75945
AutoWeka,AutoWeka,200,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72944
AutoWeka,AutoWeka,250,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72923
AutoWeka,AutoWeka,300,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72942
AutoWeka,AutoWeka,350,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72934
AutoWeka,AutoWeka,400,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72939
AutoWeka,AutoWeka,450,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72902
AutoWeka,AutoWeka,500,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72897
AutoWeka,AutoWeka,550,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72944
AutoWeka,AutoWeka,600,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72961
AutoWeka,AutoWeka,650,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,69938
AutoWeka,AutoWeka,700,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,69938
AutoWeka,AutoWeka,750,audiology,0.9489334941196302,NaN,NaN,0.7777777777777778,0.2222222222222222,72958
AutoWeka,AutoWeka,800,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72917
AutoWeka,AutoWeka,850,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72948
AutoWeka,AutoWeka,900,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72916
AutoWeka,AutoWeka,950,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72910
AutoWeka,AutoWeka,1,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,69876
AutoWeka,AutoWeka,50,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,69916
AutoWeka,AutoWeka,100,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72949
AutoWeka,AutoWeka,150,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72949
AutoWeka,AutoWeka,200,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,78926
AutoWeka,AutoWeka,250,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72932
AutoWeka,AutoWeka,300,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,81947
AutoWeka,AutoWeka,350,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72901
AutoWeka,AutoWeka,400,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72906
AutoWeka,AutoWeka,450,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,69914
AutoWeka,AutoWeka,500,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,69945
