"","ID","CLASSIFIER","ATTRIBUTESELECTION","SEED","DATASET","FLOW","RANK","CLUSTER","WEIGHTEDAREAUNDERROC","WEIGHTEDFMEASURE","WEIGHTEDPRECISION","WEIGHTEDRECALL","ERRORRATE","TIMEELAPSED"
"16",16,"randomforest","correlation-attribute-eval",750,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999887320152616,0.995486033309431,0.995566532690073,0.99554565701559,0.0044543429844098,824
"17",17,"randomforest","correlation-attribute-eval",800,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999856086319676,0.994379567696548,0.99448105069314,0.994432071269488,0.00556792873051225,816
"18",18,"randomforest","correlation-attribute-eval",850,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999810650719288,0.995449951015607,0.995571554358523,0.99554565701559,0.0044543429844098,816
"19",19,"randomforest","correlation-attribute-eval",900,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.998630932794488,0.995486033309431,0.995566532690073,0.99554565701559,0.0044543429844098,816
"20",20,"randomforest","correlation-attribute-eval",950,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999850695658688,0.996619093324991,0.996673629964398,0.996659242761693,0.00334075723830735,818
"21",21,"bagging","relieff-attribute-eval",1,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.998245059629845,0.983160774558997,0.983157485118457,0.983296213808463,0.0167037861915367,3842
"22",22,"bagging","relieff-attribute-eval",50,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.99326281859727,0.986298516797892,0.986854888279447,0.986636971046771,0.0133630289532294,822
"23",23,"bagging","relieff-attribute-eval",100,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.993915627670186,0.983015920286169,0.983749140919349,0.983296213808463,0.0167037861915367,822
"24",24,"bagging","relieff-attribute-eval",150,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.998601789098077,0.983539368610953,0.983941082296809,0.983296213808463,0.0167037861915367,822
"25",25,"bagging","relieff-attribute-eval",200,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.997308497416294,0.98514861291845,0.985149604326551,0.985523385300668,0.0144766146993318,821
"26",26,"bagging","relieff-attribute-eval",250,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.995922244928599,0.985296161360223,0.985452733431903,0.985523385300668,0.0144766146993318,818
"27",27,"bagging","relieff-attribute-eval",300,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.994106718881571,0.985986842271514,0.986901409119163,0.986636971046771,0.0133630289532294,818
"28",28,"bagging","relieff-attribute-eval",350,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.99780688658715,0.984123950628173,0.984203436440008,0.984409799554566,0.0155902004454343,822
"29",29,"bagging","relieff-attribute-eval",400,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.994967893758229,0.986310396798628,0.986797940060292,0.986636971046771,0.0133630289532294,917
"30",30,"bagging","relieff-attribute-eval",450,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.995338195220094,0.984446672049207,0.984573114506878,0.984409799554566,0.0155902004454343,819
"31",31,"bagging","relieff-attribute-eval",500,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.997763196134039,0.988563408988911,0.989097244496053,0.988864142538975,0.0111358574610245,820
"32",32,"bagging","relieff-attribute-eval",550,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.998128322013335,0.989633548572266,0.990086722287372,0.989977728285078,0.010022271714922,817
"33",33,"bagging","relieff-attribute-eval",600,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.998039736795897,0.98850406017508,0.988972254633739,0.988864142538975,0.0111358574610245,819
"34",34,"bagging","relieff-attribute-eval",650,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.997234876085392,0.988563408988911,0.989097244496053,0.988864142538975,0.0111358574610245,816
"35",35,"bagging","relieff-attribute-eval",700,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.998836950574593,0.98745367477176,0.98801008444092,0.987750556792873,0.0122494432071269,817
"36",36,"bagging","relieff-attribute-eval",750,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator",2,19,0.997059730084976,0.986306595343089,0.986309174772892,0.986636971046771,0.0133630289532294,816
